id,deckid,deckname,name,type,amount,level,actions,kost,attributes,attackType,damage,damageType,effect,mechanics,image,print,lp,mind,strength,reflex,icon,uses,passive,defeatcondition,locationType,exloreCondition,exploreTarget
AA-031,PB,Preacher book,The Donky and the Dragon,Attack,2,1,,1,mind|mind,Ranged Spell Attack,2,#fire-dmg#,"Prologue, other target Attack Deals 2 extra #fire-dmg#",,PB,True,,,,,,,,,,,
AA-033,PB,Preacher book,Ballade of the caretaker,Attack,2,1,,1,strength|reflex|reflex,Ranged Spell Attack,2,#lp#,"Prologue, other target gains 3 #def#.",,PB,True,,,,,,,,,,,
AA-033,PB,Preacher book,Saga of the needle,Attack,2,1,,1,mind|strength|reflex,Ranged Spell Attack,1,#sharp-dmg#,"Épilogue, other target *search* 2 for a maneuver",,PB,True,,,,,,,,,,,
AM-020,PB,Preacher book,Mistery of the lake murder,Maneuver,2,1,,1,mind|mind|reflex,,,,Target searches 3 for a Attack card,,PB,True,,,,,,,,,,,
PC,PC,Todorokis rings,Todorokis rings,Artifact,1,,3,,,,,,,"You have 3 #heat#-tokens and  3 #cold#-tokens. when you pay 1 #heat#-token or #cold#-token, you gain 1 token of the other type.",PC,True,,,,,,,,,,,
AA-005,PC,Todorokis rings,Fire bolt,Attack,2,1,,1,luck|luck,Ranged Spell Attack,1,#fire-dmg#,**1 #heat#:** Target gets 2 #burning# status.,,PC,True,,,,,,,,,,,
AA-006,PC,Todorokis rings,Fire wave,Attack,1,1,,1,mind|mind|mind,Ranged Spell Attack,2,#fire-dmg#,"target is #burning#, +2 damage",,PC,True,,,,,,,,,,,
AA-008,PC,Todorokis rings,Ice beam,Attack,1,1,,1,mind|mind,Ranged Spell Attack,1,#ice-dmg#,**3 #cold#:** target get 3 #frozen# status,,PC,True,,,,,,,,,,,
AA-036,PC,Todorokis rings,Cold snap,Attack,2,1,,1,strength|strength|reflex,Ranged Spell Attack,1,#ice-dmg#,**1 #cold#::** target gets 2 #frozen# status,,PC,True,,,,,,,,,,,
AM-011,PC,Todorokis rings,Ice armor,Maneuver,2,1,,1,mind|strength|reflex,,,,**X** #cold#: target gains X + X #def#,,PC,True,,,,,,,,,,,
AM-025,PC,Todorokis rings,Ignite,Maneuver,2,1,,1,mind|mind|strength,,,,**x #heat#:** target x targets they get 2 #burning# status.,,PC,True,,,,,,,,,,,
RA,RA,Ghahorks blood axe,Ghahorks blood axe,Artifact,1,,3,,,,,,,When you receive damage you gain one #rage#,RA,True,,,,,,,,,,,
AA-023,RA,Ghahorks blood axe,Furyblade Frenzy,Attack,1,1,,2,luck|luck,Mellee Attack,7,#sharp-dmg#,X #rage#: Deal X more damage,,RA,True,,,,,,,,,,,
AA-030,RA,Ghahorks blood axe,Blood heal,Attack,1,1,,1,strength|strength|strength,Ranged Spell Attack,2,#lp#,"Target is #bleeding#, heal 5 instead",,RA,True,,,,,,,,,,,
AA-025,RA,Ghahorks blood axe,Red Reaper's Roar,Attack,2,1,,1,strength|strength,Ranged Attack,1,#sharp-dmg#,Target of attack gains 2 #bleeding# condition.,,RA,True,,,,,,,,,,,
AA-026,RA,Ghahorks blood axe,Blood hunt,Attack,2,1,,1,mind|reflex|reflex,Mellee Attack,2,#sharp-dmg#,"Target is #bleeding#, deal 5 instead",,RA,True,,,,,,,,,,,
AA-034,RA,Ghahorks blood axe,Enraging Strike,Attack,2,1,,1,mind|strength|reflex,Mellee Attack,2,#sharp-dmg#,1 #rage#: deal 4 instead,,RA,True,,,,,,,,,,,
AM-018,RA,Ghahorks blood axe,Sadistic Thaunt,Maneuver,2,1,,1,strength|strength|reflex,,,,Target creature must target you,,RA,True,,,,,,,,,,,
SS,SS,Stone Sword and Shield,Stone Sword and Shield,Artifact,1,,3,,,,,,,At the start of combat: choose Attack or Defence stance.<br />At the start of the round: if you are in Attack stance your attacks deal 1 extra dmg. If you are in Defence Stance gain 2 def,,False,,,,,,,,,,,
AA-001,SS,Stone Sword and Shield,Earthed Strike,Attack,1,1,,1,,Mellee Attack,2,#blunt-dmg#,**1 Momentum:** Target gets 1 #shaken# status,,,False,,1,2,1,,,,,,,
AA-010,SS,Stone Sword and Shield,Mighty Swing,Attack,1,1,,2,,Mellee Attack,3,#sharp-dmg#,Deal 3 damage.<br />**x Momentum:** Deal x damage to same taget,,,False,,1,2,1,,,,,,,
AA-011,SS,Stone Sword and Shield,Guard Stance,Attack,3,1,,1,,Mellee Attack,,,Gain 3 def.<br />Gain 1 Momentum,,,False,,1,3,1,,,,,,,
AA-012,SS,Stone Sword and Shield,Swift Swing,Attack,3,1,,1,,Mellee Attack,,,Deal 3 damage.<br />Gain 1 Momentum,,,False,,1,3,1,,,,,,,
AM-013,SS,Stone Sword and Shield,Magnetic Shield,Maneuver,1,1,,2,,,,,Guard Target.<br />**x Momentum**: Gain x def,,,False,,1,2,1,,,,,,,
TR-002,SS,Stone Sword and Shield,Spiked Shield,Trap,1,1,,1,,,,,"Damaged by melee attack, Deal 3 damage to Attacker<br />gain 1 Momentum",,,False,,1,2,1,,,,,,,
B-001,BD,Bear Dragon,Bear Dragon Head,Boss,1,1,2+P,,,,,,,,,True,10,,,,,,,"Draw phase, draw half  (rounded down) the amound of cards",,,
B-002,BD,Bear Dragon,Bear Dragon Body,Boss,1,1,2+P,,,,,,"Plays Roll Up, Deal 3 #fire-dmg# all everybody.",,,True,20,,,,,,,"Draw a body action card, Destroy it",,,
AM-017,BD,Bear Dragon,Roll up,Maneuver,3,1,,1,mind|strength,,,,Head can't be targeted,,,True,,,,,,,,,,,
AA-028,BD,Bear Dragon,Dragon Claw,Attack,3,1,,1,strength|strength|reflex,Mellee Attack,2,#sharp-dmg#,,,,True,,,,,,,,,,,
AA-027,BD,Bear Dragon,Dragon Breath,Attack,2,1,,2,mind|strength|reflex,Ranged Attack,3,#fire-dmg#,Target 2,,,True,,1,4,1,,,,,,,
AM-003,BD,Bear Dragon,Blazing Dragon scales,Maneuver,2,1,,1,strength|strength,,,,"Ignore all #fire-dmg# <br/> Played Roll Up, Deal 2 #fire-dmg# to everything",,,True,,2,3,1,,,,,,,
AA-022,BD,Bear Dragon,Fury Charge,Attack,2,1,,2,strength|mind|mind,Mellee Attack,3,#blunt-dmg#,"#str# DC 2 < damaged target gets 1 #shaken# status.<br /> Played Roll Up,  deals 5 #fire-dmg# instead",,,True,,1,2,4,,,,,,,
AA-022,BD,Bear Dragon,Burning Ember Bite,Attack,2,1,,1,mind|reflex|reflex,Mellee Attack,3,#blunt-dmg#,same target gets 3 #burning# status.,,,True,,1,2,4,,,,,,,
AA-029,BD,Bear Dragon,Bear-Dragon Slam,Attack,1,1,,3,luck|luck,Mellee Attack,5,#fire-dmg#,"Target 2 other creatures, they get 3 #burning# status.<br /> Played Rollup, deal 5 damage to all targets",,,True,,2,4,2,,,,,,,
IT-001,I,Items,Healing Potion,Item,5,1,,1,mind|strength|reflex,,,,Heal 5 #lp#,,,True,,,,,,3,,,,,
IT-002,I,Items,Golden bag,Item,1,1,,1,mind|strength|reflex,,,,"Deal 3 #blunt-dmg#.<br />Destroyed, level up",,,True,,,,,,3,,,,,
IT-002,I,Items,Golden bag,Item,1,2,,1,mind|strength|reflex,,,,Deal 3 #blunt-dmg# gain 1 gold.,,,True,,,,,,5,,,,,
L-01,LF,Forest,Bloody Tracks,Location,1,,,,,,,,You find bloody tracks of body being dragged to some dens bushes.<br /> target gets 3 #hidden# status,,,True,,,,,,,,,Forest,1 action: add a exlore token.,3
L-02,LF,Forest,healing herbs,Location,1,,,,,,,,You come find some healing herbs.<br /> target removes 3 conditions from their hand or deck.,,,True,,,,,,,,,Forest,1 action: add a exlore token.,3
L-03,LF,Forest,Dead Poisend Body,Location,1,,,,,,,,You find a half eaten corps with dark green vines.,,,True,,,,,,,,,Forest,1 action: add a exlore token.,3
L-04,LF,Forest,Speaking Winds,Location,1,,,,,,,,You hear soft wispers in the wind between the trees.<br /> target searches 3.,,,True,,,,,,,,,Forest,1 action: add a exlore token.,3
L-05,LF,Forest,Fallen log,Location,1,,,,,,,,You find a fallen log.<br /> Target gets 1 #shaken# status.,,,True,,,,,,,,,Forest,1 action: add a exlore token.,3
L-06,LF,Forest,Wild Hunny,Location,1,,,,,,,,You find some honey.<br /> Everybody draws 1,,,True,,,,,,,,,Forest,1 action: add a exlore token.,3
M-004,M,Minions,Viper Wolfs,Minion,4,1,2,,,,,,,,,True,20,1,2,2,,,All poison cards: are Pralyzing Poision cards,,,,
AA-016,MB,Beast,Claw Slash,Attack,3,1,,1,strength,Mellee Attack,3,#sharp-dmg#,,,,False,,,,,,,,,,,
AA-016,MB,Beast,Bite,Attack,2,1,,2,strength|strength,Mellee Attack,5,#sharp-dmg#,,,,False,,,,,,,,,,,
AA-015,MB,Beast,Leap,Attack,2,1,,2,strength|reflex,Mellee Attack,3,#blunt-dmg#,**#str# DC 1** < get 1  #shaken# status.,,,False,,,,,,,,,,,
AM-007,MB,Beast,Growl,Maneuver,1,1,,2,mind|strength|reflex,,,,Target attacks deal 1 less damage this round.,,,False,,,,,,,,,,,
AA-027,MD,Dragon Blood,Dragon Breath,Attack,2,1,,2,,Mellee Attack,3,#fire-dmg#,Target 2,,,False,,1,4,1,,,,,,,
AA-028,MD,Dragon Blood,Dragon Claw,Attack,3,1,,1,,Mellee Attack,2,#sharp-dmg#,,,,False,,1,3,2,,,,,,,
AM-003,MD,Dragon Blood,Dragon scales,Maneuver,2,1,,2,,,,,Ignore all #fire-dmg# and #blunt-dmg#,,,False,,2,3,1,,,,,,,
AA-013,MG,Goblin,Short Voly,Attack,5,1,,1,,Ranged Attack,2,#sharp-dmg#,,,,False,,,,,,,,,,,
AA-014,MG,Goblin,Nasty Stab,Attack,5,1,,1,,Mellee Attack,3,#sharp-dmg#,,,,False,,,,,,,,,,,
TR-004,MG,Goblin,Last sacrifice,Trap,3,1,,1,,,,,"Leathel Damaged, Deal 10 #fire-dmg# to Attacker",,,False,,,,,,,,,,,
TR-005,MG,Goblin,Cryo Mist,Trap,2,1,,1,,,,,"Damaged by mele attack, Attacker gets 3 #frozen# status.",,,False,,,,,,,,,,,
AA-017,MV,Venomous,Venomoues Spit,Attack,3,1,,1,reflex,Ranged Attack Command,2,#sharp-dmg#,**#rfx# DC 1** < gain 1 poison condition,,,True,,,,,,,,,,,
AA-018,MV,Venomous,Venomoues Bite,Attack,2,1,,1,reflex|reflex,Mellee Attack,3,#sharp-dmg#,**#rfx# DC 1** < gain 2 poison conditions,,,True,,,,,,,,,,,
TR-007,MV,Venomous,Poisonous Blood,Trap,2,1,,1,mind|reflex,,,,"Damaged by melee attack, attacker gains 2 poison conditions",,,True,,,,,,,,,,,
AM-025,MV,Venomous,Poison Cloud,Maneuver,1,1,,2,mind|strength|reflex,,,,3 Targets <br/> **#str# DC 1** <  gains 2 poison conditions,,,True,,,,,,,,,,,
AA-002,T,Tokens,Arial strike,Attack,6,1,,0,reflex,Mellee Attack,1,#sharp-dmg#,can only target #marked# targets,,,True,,,,,,,,,,,
C-001,T,Tokens,Bleeding,Condition,5,,,0,strength|reflex|trouble,,,,Take 1 damage,,,True,,,,,#bleeding#,,,,,,
C-002,T,Tokens,Paralyzing Poison,Condition,5,,,1,mind|strength|trouble,,,,,,,True,,-2,-1,-3,#posion#,,,,,,
S-001,T,Tokens,Burning,Status,3,,,,,,,,You take X #fire-dmg# where X = number of stacks.<br />When this creature is hit by #ice-dmg# remove 1 #burning# status.<br />This creature can't get #frozen#.,,,True,,,,,#burning#,,,,,,
S-002,T,Tokens,Frozen,Status,3,,,,,,,,You deals 1 less damage per #frozen# status.<br />When this creature is hit by #fire-dmg# remove 1 #frozen# status.<br />This creature can't get #burning#.,,,True,,,,,#frozen#,,,,,,
S-003,T,Tokens,Guarded,Status,3,,,,,,,,,,,False,,,,,#guarded#,,,,,,
S-004,T,Tokens,Guarding,Status,3,,,,,,,,"when a #guarded# is targeted for a attack, You may redirect the attack to you.",,,False,,,,,#guarding#,,,,,,
S-005,T,Tokens,Shaken ,Status,3,,,,,,,,Start of round: this creature has 1 less action.<br />When this creature gets #hasted# status remove all stacks. ,,,True,,,,,#shaken#,,,,,,
S-006,T,Tokens,Hasted,Status,3,,,,,,,,Start of round: this creature gains 1 action.<br />When this creature gets #shaken# status remove all stacks.,,,True,,,,,#hasted#,,,,,,
S-007,T,Tokens,Hidden,Status,3,,,,,,,,"You can't be targeted.<br /> Anyone 1 action: remove 1 #hidden# status. <br /> play a card, remove #hidden# status",,,True,,,,,#hidden#,,,,,,
